AccountID,Ticker,Qty,Price,PositionTotal
f3feaff86948,ROST,81,39.29,3182.49
f3feaff86948,EXR,39,124.52,4856.28
f3feaff86948,IVZ,68,134.54,9148.72
f3feaff86948,EOG,156,33.2,5179.2
f3feaff86948,XOM,79,108.69,8586.51
f3feaff86948,FOXA,94,86.59,8139.46
f3feaff86948,DUK,46,82.73,3805.58
f3feaff86948,GM,141,72.04,10157.64
f3feaff86948,CRL,35,211.28,7394.8
f3feaff86948,CME,196,37.78,7404.88
f3feaff86948,ECL,41,151.8,6223.8
f3feaff86948,A,20,275.49,5509.8
f3feaff86948,MOH,42,244.45,10266.9
f3feaff86948,WAT,28,273.69,7663.32
f3feaff86948,F,57,95.86,5464.02
f3feaff86948,AAPL,26,126.38,3285.88
f3feaff86948,TSLA,17,397.29,6753.93
f3feaff86948,OXY,75,41.46,3109.5
f3feaff86948,AVY,216,45.27,9778.32
f3feaff86948,AOS,62,170.74,10585.88
f3feaff86948,BXP,334,29.66,9906.44
f3feaff86948,KDP,56,137.96,7725.76
f3feaff86948,AMD,71,50.0,3550.0
f3feaff86948,LNT,181,42.84,7754.04
f3feaff86948,AXP,56,117.55,6582.8
f3feaff86948,WDAY,33,214.16,7067.28
f3feaff86948,TROW,155,39.53,6127.15
f3feaff86948,CPB,76,139.21,10579.96
f3feaff86948,ABT,1,122.93,122.93
f3feaff86948,CASH,1,15612.56,15612.56
358e290f5bd0,FOXA,283,86.59,24504.97
358e290f5bd0,AMD,632,50.0,31600.0
358e290f5bd0,PNW,407,36.83,14989.81
358e290f5bd0,AAPL,232,126.38,29320.16
358e290f5bd0,LNT,337,42.84,14437.08
358e290f5bd0,WAT,89,273.69,24358.41
358e290f5bd0,OXY,448,41.46,18574.08
358e290f5bd0,VICI,932,21.99,20494.68
358e290f5bd0,EXC,315,96.73,30469.95
358e290f5bd0,EXR,231,124.52,28764.12
358e290f5bd0,DUK,221,82.73,18283.33
358e290f5bd0,KDP,231,137.96,31868.76
358e290f5bd0,TSLA,60,397.29,23837.4
358e290f5bd0,MOH,89,244.45,21756.05
358e290f5bd0,AVY,479,45.27,21684.33
358e290f5bd0,ECL,187,151.8,28386.6
358e290f5bd0,DTE,475,71.23,33834.25
358e290f5bd0,VRSN,499,67.91,33887.09
358e290f5bd0,HLT,201,165.65,33295.65
358e290f5bd0,STX,1,181.65,181.65
358e290f5bd0,CASH,1,88983.39,88983.39
737a7722d759,AMD,98,50.0,4900.0
737a7722d759,UBER,45,193.9,8725.5
737a7722d759,TROW,141,39.53,5573.73
737a7722d759,CPB,62,139.21,8631.02
737a7722d759,AMCR,84,82.03,6890.52
737a7722d759,VRSN,64,67.91,4346.24
737a7722d759,MOH,28,244.45,6844.6
737a7722d759,AVY,128,45.27,5794.56
737a7722d759,EXC,59,96.73,5707.07
737a7722d759,F,108,95.86,10352.88
737a7722d759,CTRA,182,31.52,5736.64
737a7722d759,PPG,87,70.27,6113.49
737a7722d759,CRL,38,211.28,8028.64
737a7722d759,EOG,129,33.2,4282.8
737a7722d759,EG,89,99.01,8811.89
737a7722d759,IPG,58,135.34,7849.72
737a7722d759,TT,52,183.79,9557.08
737a7722d759,AOS,17,170.74,2902.58
737a7722d759,EXR,39,124.52,4856.28
737a7722d759,EQIX,219,20.77,4548.63
737a7722d759,CASH,1,14593.94,14593.94
95c9d3794695,CF,55,85.99,4729.45
95c9d3794695,GOOGL,41,359.01,14719.41
95c9d3794695,TTWO,122,101.49,12381.78
95c9d3794695,UBER,93,193.9,18032.7
95c9d3794695,ABT,82,122.93,10080.26
95c9d3794695,WAT,38,273.69,10400.22
95c9d3794695,GIS,64,109.17,6986.88
95c9d3794695,WY,121,78.83,9538.43
95c9d3794695,ITW,80,219.67,17573.6
95c9d3794695,CRL,45,211.28,9507.6
95c9d3794695,KDP,81,137.96,11174.76
95c9d3794695,EG,141,99.01,13960.41
95c9d3794695,AVY,261,45.27,11815.47
95c9d3794695,HLT,43,165.65,7122.95
95c9d3794695,AOS,78,170.74,13317.72
95c9d3794695,AXP,119,117.55,13988.45
95c9d3794695,VRSN,237,67.91,16094.67
95c9d3794695,LNT,188,42.84,8053.92
95c9d3794695,MOH,51,244.45,12466.95
95c9d3794695,EOG,272,33.2,9030.4
95c9d3794695,AMCR,191,82.03,15667.73
95c9d3794695,TROW,420,39.53,16602.6
95c9d3794695,DTE,197,71.23,14032.31
95c9d3794695,A,23,275.49,6336.27
95c9d3794695,WDAY,77,214.16,16490.32
95c9d3794695,ODFL,127,78.74,9999.98
95c9d3794695,GM,147,72.04,10589.88
95c9d3794695,F,150,95.86,14379.0
95c9d3794695,EXR,1,124.52,124.52
95c9d3794695,CASH,1,24092.24,24092.24
7331ca9e31f8,EXC,125,96.73,12091.25
7331ca9e31f8,ITW,37,219.67,8127.79
7331ca9e31f8,WY,66,78.83,5202.78
7331ca9e31f8,WDAY,56,214.16,11992.96
7331ca9e31f8,STX,59,181.65,10717.35
7331ca9e31f8,HLT,45,165.65,7454.25
7331ca9e31f8,AMCR,64,82.03,5249.92
7331ca9e31f8,ODFL,173,78.74,13622.02
7331ca9e31f8,A,53,275.49,14600.97
7331ca9e31f8,DUK,179,82.73,14808.67
7331ca9e31f8,PNW,284,36.83,10459.72
7331ca9e31f8,MDLZ,143,65.36,9346.48
7331ca9e31f8,GM,104,72.04,7492.16
7331ca9e31f8,TSLA,38,397.29,15097.02
7331ca9e31f8,ABT,74,122.93,9096.82
7331ca9e31f8,AOS,23,170.74,3927.02
7331ca9e31f8,CF,145,85.99,12468.55
7331ca9e31f8,TTWO,65,101.49,6596.85
7331ca9e31f8,KDP,108,137.96,14899.68
7331ca9e31f8,TROW,282,39.53,11147.46
7331ca9e31f8,XOM,1,108.69,108.69
7331ca9e31f8,CASH,1,15574.79,15574.79
24a99a1b3c2b,GM,554,72.04,39910.16
24a99a1b3c2b,MOH,195,244.45,47667.75
24a99a1b3c2b,ROST,1710,39.29,67185.9
24a99a1b3c2b,BXP,647,29.66,19190.02
24a99a1b3c2b,IPG,499,135.34,67534.66
24a99a1b3c2b,PPG,468,70.27,32886.36
24a99a1b3c2b,PNW,1263,36.83,46516.29
24a99a1b3c2b,ODFL,667,78.74,52519.58
24a99a1b3c2b,WDAY,235,214.16,50327.6
24a99a1b3c2b,GIS,281,109.17,30676.77
24a99a1b3c2b,KDP,354,137.96,48837.84
24a99a1b3c2b,AAPL,424,126.38,53585.12
24a99a1b3c2b,EL,396,154.02,60991.92
24a99a1b3c2b,AOS,191,170.74,32611.34
24a99a1b3c2b,WY,580,78.83,45721.4
24a99a1b3c2b,TTWO,216,101.49,21921.84
24a99a1b3c2b,TRGP,862,46.56,40134.72
24a99a1b3c2b,ECL,380,151.8,57684.0
24a99a1b3c2b,CRL,328,211.28,69299.84
24a99a1b3c2b,HLT,376,165.65,62284.4
24a99a1b3c2b,GOOGL,95,359.01,34105.95
24a99a1b3c2b,UBER,187,193.9,36259.3
24a99a1b3c2b,CME,1442,37.78,54478.76
24a99a1b3c2b,IVZ,473,134.54,63637.42
24a99a1b3c2b,EXR,347,124.52,43208.44
24a99a1b3c2b,AMCR,650,82.03,53319.5
24a99a1b3c2b,VICI,1,21.99,21.99
24a99a1b3c2b,CASH,1,181043.39,181043.39
e8a66d0a0e5d,WDAY,311,214.16,66603.76
e8a66d0a0e5d,CRL,139,211.28,29367.92
e8a66d0a0e5d,MOH,139,244.45,33978.55
e8a66d0a0e5d,PNW,857,36.83,31563.31
e8a66d0a0e5d,ROST,1065,39.29,41843.85
e8a66d0a0e5d,BXP,997,29.66,29571.02
e8a66d0a0e5d,EQIX,2982,20.77,61936.14
e8a66d0a0e5d,STX,156,181.65,28337.4
e8a66d0a0e5d,F,194,95.86,18596.84
e8a66d0a0e5d,UBER,126,193.9,24431.4
e8a66d0a0e5d,EG,184,99.01,18217.84
e8a66d0a0e5d,AXP,572,117.55,67238.6
e8a66d0a0e5d,IVZ,305,134.54,41034.7
e8a66d0a0e5d,CTRA,894,31.52,28178.88
e8a66d0a0e5d,GIS,527,109.17,57532.59
e8a66d0a0e5d,PARA,326,86.03,28045.78
e8a66d0a0e5d,IPG,494,135.34,66857.96
e8a66d0a0e5d,WAT,96,273.69,26274.24
e8a66d0a0e5d,CME,882,37.78,33321.96
e8a66d0a0e5d,VRSN,369,67.91,25058.79
e8a66d0a0e5d,AAPL,206,126.38,26034.28
e8a66d0a0e5d,GM,468,72.04,33714.72
e8a66d0a0e5d,CF,620,85.99,53313.8
e8a66d0a0e5d,AMD,1136,50.0,56800.0
e8a66d0a0e5d,AVY,1,45.27,45.27
e8a66d0a0e5d,CASH,1,91797.67,91797.67
c1e6f318878e,TROW,741,39.53,29291.73
c1e6f318878e,AXP,264,117.55,31033.2
c1e6f318878e,ABT,243,122.93,29871.99
c1e6f318878e,EQIX,763,20.77,15847.51
c1e6f318878e,BXP,1372,29.66,40693.52
c1e6f318878e,A,54,275.49,14876.46
c1e6f318878e,CRL,96,211.28,20282.88
c1e6f318878e,VRSN,215,67.91,14600.65
c1e6f318878e,PNW,1041,36.83,38340.03
c1e6f318878e,DUK,219,82.73,18117.87
c1e6f318878e,MOH,132,244.45,32267.4
c1e6f318878e,STX,128,181.65,23251.2
c1e6f318878e,ROST,828,39.29,32532.12
c1e6f318878e,MDLZ,650,65.36,42484.0
c1e6f318878e,XOM,149,108.69,16194.81
c1e6f318878e,OXY,547,41.46,22678.62
c1e6f318878e,ITW,183,219.67,40199.61
c1e6f318878e,AMD,738,50.0,36900.0
c1e6f318878e,GIS,184,109.17,20087.28
c1e6f318878e,F,165,95.86,15816.9
c1e6f318878e,UBER,85,193.9,16481.5
c1e6f318878e,LNT,675,42.84,28917.0
c1e6f318878e,PARA,332,86.03,28561.96
c1e6f318878e,EL,101,154.02,15556.02
c1e6f318878e,DTE,1,71.23,71.23
c1e6f318878e,CASH,1,119897.54,119897.54
12c807f880ff,VICI,868,21.99,19087.32
12c807f880ff,OXY,627,41.46,25995.42
